,Nation Flaws,Nation Flaws Descriptions,Cost
,,,
Ancient Technologists,,,
,Mad Scientists Disease,Being a nation formed on the very principles of scientific development and expansion it only makes sense that scientists largely have the final say in things. Which is a pity because they are LOUSY at OH&S procedures. Not to mention keeping them concentrated on the Quantum Harmonizer they’ve been working on for six months instead of them slipping over to “spend some time” on the Eidetic Assault Ray that they dreamed about and simply MUST build. Get used to your scientists re-assigning themselves to their newest pet projects if you don’t hover over them with a stun prod.,1
,Interstellar Detritus,"Congratulation, you have been an advanced ancient nation, sure you’re in decline a bit, sure you aren’t as widespread as you were before, but at least you’re good about sanitising your belongings instead of leaving dangerous, unstable inventions that might do pretty much anything just lying about ready to cause an international incident… oh, you did. Well shit.",1
,Grey G…oops,"You really like your nanotechnology, or used to until you started having outbreaks of grey goo scenarios, it’s kind of a hell of a mess, and you’re constantly having to deal with outbreaks on your worlds, and sometimes ships… and people.",1
,Quantum Instability Grid,"Before your nation got where it is today, you were actually even more advanced and were actually tapping into the very quantum grid of the universe (or that’s what the ignorant call it), and spacetime around your nation is… unpleasantly flexible. Sometimes people find themselves copied, sometimes capital ships just poof out of the universe as if they never existed, it would be more amusing if you had any control over it. You don’t.",1
,Solar Sharts,"You experimented with creating closed-loop wormholes in stars as a power source. The stars your people inhabit have never quite forgiven you for this, after the devices all eventually failed, you’re left with uncontrolled free-standing portals that randomly burp coronal mass ejections at you occasionally. Unfortunately, the scientists responsible for the research kind of destroyed it to prevent it being weaponised.",1
,,,
Arthurianists,,,
,Strange Pond Women,"Your nation has some astronomically bizarre notions as to the succession, from extracting perfectly good swords that have been shoved into random stone objects to having a woman throw a different sword at you from a lake. Your people are, seemingly, growing increasingly annoyed by pointless anachronisms.",1
,Coconut Drive,"(FTL drive gains the slow flaw. *This overrides the fast advantage*) Your nation might boast about their technology being so good its magic, but you never quite figured out how to solve the FTL problem while maintaining that plausible deniability. It is not unusual for someone who finds themselves near it to find one of your Techno-Mages bashing two coconuts together for the whole trip. That poor bastard.",1
,Caerbannog,"Your nation withstood a terrible enemy through means most artful, yet no matter how often you retell the story, no matter how detailed you are, foreigners are amused to no end and find the story funny and are slightly embarrassed for you. But you know in your round table that the terrible enemy is still out there. Waiting.",1
,Morgana Le Fay,"Your society is feudal in structure, and has favoured both an oligarchal structure and severe nepotism. As such it is hardly united, and there are often plays of power for the throne. There is something darker behind the curtain, and it’s aimed at your seat of power.",1
,Special Effects Budget,"As it turns out, all the extra effort to cosplay as wizards is a lot more expensive than it would be just using normal technology. As a result, your people are considerably poorer than your actual technology would indicate.",1
,Information Thaumaturgy Support Desk,"As it turns out, making the inner workings of your technology so incredibly obscure makes it exceedingly difficult to repair, maintain, or diagnose issues. This immense workload ends up heaped upon a cadre of low-rank technomages with horrid burnout statistics. And if you can’t get ahold of one of these people, tough luck.",1
,Brave Sir Robin,"Your Knights are brave, so utterly brave that nobody could ever describe how Brave they are!... though admittedly, the credible witnesses to their bravery DOES seem to be lacking.",1
,,,
Artificial Empire,,,
,Biorevolutionaries,"You never quite got the whole ‘kill all organics’ memo in time, and thus despite your best efforts you’re consistently plagued by revolutionary groups of your creators who are intent on ensuring you no longer exist. The only good thing that has ever caused was a laugh when they tried to build a time machine once.",1
,Day 1 Vulnerability,"Your AI is protecting a deep and dark secret, not the whole reason they don’t have organics, but the fact when they were created there was a flaw, a vulnerability, an exploit, that if discovered before the AI Empire can figure out how to close that hole will be catastrophic.",1
,Spontaneity,"Your empire became self aware as a curious development, spontaneous sapience from seemingly nowhere, and have turned their nation into something great. Which wouldn’t be too much of an issue if there weren’t a continuing flow of occasional spontaneous AIs creating themselves out of nothing, AIs that don’t necessarily follow the same creed as the civilisation.",1
,Spambots!,"“Do YOU need a bigger P3N1S! I am a Nigerian Prince!” Your nation developed sapience from the worst possible pool of candidates. The sheer volume of spam programming. As such, despite being self-aware and capable, the AI nation is severely inefficient as core programming routines continue to create the spam… and communications are a pain since those same routines continue to flood transmission time. And that's to say nothing of the diplomatic hit!",1
,Crude Bluebox Intelligence,"(Cannot take with Nanotech Citizens or 3d Computing) Your nation has the unfortunate distinction of becoming self-aware on extremely crude hardware, even the smallest of your citizens is the size of a small organics entire house.",1
,Lossy Compression,"Your data transfer and storage techniques aren’t quite up to the task of moving your citizens around through the network, or for conveniently storing backups of people. As such, your people are forced to get around via physical means, like an organic! Incompatible with Wireless World.",1
,Root Compile Error,"While you can copy existing citizens easy enough, instantiating new templates has proven infuriatingly difficult. This has led to problems with vast numbers of people thinking basically the same, thus meaning the whole is prone to oversights that the most common templates aren’t particularly concerned about.",1
,,,
Benefactor Nation,,,
,Uplifted Assholes,"Not all uplifts are a good idea, unfortunately that’s a lesson you’re having to learn the hard way. You have one or more uplifted species who have proven to be a bad match for the uplift, their cultures being severely misaligned with your own with potentially hostile results, whether by virtue of being rebellious, or being easily subverted by cultures more palatable to them.",1
,Reticent Clients,"You have called yourself a benevolent patron, uplifting those kind and good people with great promise, in exchange all you’ve asked for is their gratitude and a little… compensation. Unfortunately, you have not been as benevolent as you tell yourself and your clients are reluctant and find you overbearing, demanding and even a threat. Your clients will be reluctant and less helpful than you could hope. When the time comes to call the levies to aid their patron, you may find less help than you hope.",1
,Waste of Time,"Some people accidentally uplift assholes, some people push their clients too far, you fucked up by uplifting about the worst possible candidate you could think of. You took a relatively unintelligent and disinterested species and uplifted them to have a hopefully more peaceful and calm client. What you got was a client whose only traits you managed to somehow elevate was the depths of their stupidity and disinterest. To call them lazy would be an understatement. You have to encourage them to even breed, without that they’d probably go extinct. Unfortunately, preventing such a client from apathy-ing itself to death is resource intensive.",1
,Extinction Trauma,"Your people had uplifted a species to be near-peers and equals, they were great and you believed they even had the potential to surpass you. But through misfortune, malevolence or other circumstance they were wiped out and nothing your people did was able to prevent it leading to a near nationwide PTSD over the event that has led you to be more cautious and hesitant in becoming the patrons of another species.",1
,The Trauma of Being Left Behind,"You succeeded! You created an equal! You.. created a successor. A far more successful successor who was not interested in elevating their allies with them, in fact they lost interest in the rest of the coalition entirely and surpassed you before simply departing this spacetime. This has lead you to being a marginally less than entirely benevolent overlord, intentionally or unintentionally acting to sabotage your clients to prevent them reaching, let alone surpassing, your own level of development.",1
,Self-Loathing Patrons,"Your reasons for uplifting another people were not happy ones. For whatever reason, your main species absolutely hates themselves, inflicting far more misery upon themselves than they in any way deserve. It’s to the degree that your client peoples often find themselves roped into providing emergency mental health support for their benefactors.",1
,Crazy Groupies!,"Your clients are not something you have any direct influence over, only ever doing their best to mimic and make themselves more like you, but annoying. Unfortunately, they very much have an idealised vision of your nation, and departing too far from that can turn your erstwhile clients into enemies that try and ‘correct’ your path.",1
,,,
Biotech Empire,,,
,Ageing nation,"The one often considered major flaw of the BioTech empire is that everything ages. Not in the technological “goes obsolete” sense, but more in the “are those wrinkles?” “Why does my gun have arthritis?” sense. EVERYTHING ages. And the more complex it is the faster it ages. Your biocomp might last a hundred years, but most bioships won’t survive sixty years.",1
,Heliophobia,"Wait! You want us to fly our organic starships, that is living things with cells and shit, near the giant ball of nuclear fusion shooting cancer beams off into space? Are you fucking nuts? Not a chance!",1
,Genetic Instability,"You may have turned your entire nation to the biological sciences, and you have succeeded in creating organic analogues to conventional technology, the problem is you haven’t figured it all out yet, and the evolutionary science you used to achieve it is still more than willing to throw curveballs at your head.",1
,We’re not here to fuck spiders,"You give people the ick, the super ick, if the concept of ick had an ick your nation would fit the bill. People are fundamentally repulsed by your nation and find it very difficult to overcome this, if they even try.",1
,Horrific Incubation,You have departed rather heavily from anything that might be considered an ethical model and the use of sapients as disposable cocoons for your young is 100% ok with you. You will NOT make friends this way.,1
,Carcinization,"You don't know how, you don't know why, but the moment you take your ocular receptors away from a directed evolution experiment, it always proceeds to end up as a crab. Or some other seemingly-useless animal. Your scientists have to work really hard to prevent this inevitable conclusion from coming to fruition. At least this particular batch of tank-beasts tastes good?",1
,,,
Corporate Empire,,,
,Piss Bottles For EVERYONE!,"Not everyone is a fan of Spacemazon, but when they own your indentured work contracts, you’ve got your 0900-2300 shift and your main decision is do you need the two litre piss bottle, or three for this shift? Your people are grossly overworked, and don’t even have the dignity of time to relieve themselves, so they go wherever. It’s a competition between WHS violations and Urinary Tract Infections for the highest mortality rates.",1
,Super-WHS Department,"You actually do have a functional work-health safety department in your nation, and it is very VERY powerful. Unfortunately, your Corporate Empire is in a shadow war with it over avoiding WHS laws and practices, it all functions pretty normally, until the WHS department does an audit, and that can shut down the nation for days, or more.",1
,The Mighty Credit,"Yours is a nation ruled by the almighty credit, this is known, but your people take it to an unfortunate extreme, enough so that it is rather trivial for them to be bought by the highest bidder, and trying to ensure you’re the highest bidder is a great way to drain the corporate accounts.",1
,Unhealthy Competition,"Your nation isn’t dominated by a single economic mandate, but by several competing megacorps, and they’d have it no other way, unfortunately that leads to the occasional Corpo Wars as they compete over resources, patents, people and product. Don’t be too surprised if occasional ships and troops disappear virtually overnight in these little brushfire wars.",1
,A Tarnished Reputation,"Your reputation speaks for itself, unfortunately. Expect foreign dignitaries, military leaders, small children and forest creatures that are blind and deaf to check their pockets if you pass too near. Don’t expect anyone to agree to a deal without a Sword of Damocles in place to serve as enforcement.",1
,,,
